n,density_label,density_rel_avg,m_real_avg,dijkstra_us_avg,dijkstra_us_std,bf_us_avg,bf_us_std,thorup_us_avg,thorup_us_std,dmmsy_us_avg,dmmsy_us_std,dijkstra_ops_avg,bf_ops_avg,thorup_ops_avg,dmmsy_ops_avg,winner_time
500,muy_disperso,0.00200401,500.00,21.333333,5.249339,335.000000,175.592331,9148.000000,340.571089,1025.666667,153.014887,292.333333,24245.000000,292.333333,292.333333,Dijkstra
500,disperso,0.00400802,1000.00,154.666667,11.585431,117.333333,20.677417,7759.000000,888.004880,959.333333,134.294039,1000.000000,7138.333333,1000.000000,1000.000000,Bellman-Ford
500,semi_denso,0.01002004,2500.00,340.000000,63.942683,215.000000,49.826365,8455.333333,1158.228628,1185.333333,201.713218,2500.000000,17449.666667,2500.000000,2500.000000,Bellman-Ford
500,denso,0.02004008,5000.00,384.000000,28.879058,240.000000,34.554305,7824.000000,511.379181,911.333333,64.365277,5000.000000,31351.000000,5000.000000,5000.000000,Bellman-Ford
500,muy_denso,0.25050100,62500.00,1061.000000,92.965944,1384.333333,79.621326,7790.666667,251.165727,1292.666667,180.776719,62500.000000,457580.333333,62500.000000,62500.000000,Dijkstra
1000,muy_disperso,0.00100100,1000.00,38.000000,7.118052,1387.666667,529.131574,13712.000000,676.650575,1415.000000,230.761060,623.000000,101506.666667,623.000000,623.000000,Dijkstra
1000,disperso,0.00200200,2000.00,202.666667,56.316566,157.333333,50.479919,6912.333333,1419.198209,754.666667,215.725649,1998.000000,17717.000000,1998.000000,1998.000000,Bellman-Ford
1000,semi_denso,0.00500501,5000.00,215.000000,43.204938,147.000000,15.556349,6344.000000,631.476049,636.666667,48.998866,5000.000000,40421.666667,5000.000000,5000.000000,Bellman-Ford
1000,denso,0.01001001,10000.00,310.666667,32.714251,217.333333,10.873004,6001.000000,411.135825,669.333333,84.606278,10000.000000,88571.000000,10000.000000,10000.000000,Bellman-Ford
1000,muy_denso,0.25025025,250000.00,1220.333333,110.517972,2741.666667,1112.802568,7060.000000,600.836639,1858.000000,542.033824,250000.000000,1998015.666667,250000.000000,250000.000000,Dijkstra
2000,muy_disperso,0.00050025,2000.00,55.666667,33.319997,1940.333333,1412.414088,12880.333333,833.878622,2135.666667,619.160902,955.000000,354303.000000,955.000000,955.000000,Dijkstra
2000,disperso,0.00100050,4000.00,431.333333,178.124176,311.333333,32.622419,12236.333333,1488.660322,1639.333333,350.970401,4000.000000,38851.000000,4000.000000,4000.000000,Bellman-Ford
2000,semi_denso,0.00250125,10000.00,587.666667,38.732702,407.000000,80.278681,11001.666667,414.640674,1388.000000,67.542579,10000.000000,91550.333333,10000.000000,10000.000000,Bellman-Ford
2000,denso,0.00500250,20000.00,939.666667,218.946467,839.000000,172.640281,11005.666667,401.299832,1299.333333,53.940296,20000.000000,188889.666667,20000.000000,20000.000000,Bellman-Ford
2000,muy_denso,0.25012506,1000000.00,3026.000000,47.391982,10436.333333,1257.029921,12825.333333,147.314478,2621.000000,177.177877,1000000.000000,8662881.666667,1000000.000000,1000000.000000,DMMSY
5000,muy_disperso,0.00020004,5000.00,43.333333,10.274023,-1.000000,-1.000000,25919.666667,750.535068,2897.666667,180.230100,997.000000,-1.000000,997.000000,997.000000,Dijkstra
5000,disperso,0.00040008,10000.00,752.333333,131.169949,-1.000000,-1.000000,25858.333333,279.690702,3219.666667,558.037832,9997.333333,-1.000000,9997.333333,9997.333333,Dijkstra
5000,semi_denso,0.00100020,25000.00,1471.333333,342.652723,-1.000000,-1.000000,28257.000000,2903.399043,3339.000000,516.025193,25000.000000,-1.000000,25000.000000,25000.000000,Dijkstra
5000,denso,0.00200040,50000.00,1982.666667,236.325106,-1.000000,-1.000000,32868.000000,391.812030,3908.333333,559.532146,50000.000000,-1.000000,50000.000000,50000.000000,Dijkstra
5000,muy_denso,0.25005001,6250000.00,11992.333333,636.255888,-1.000000,-1.000000,33817.333333,749.309163,10171.666667,515.415905,6250000.000000,-1.000000,6250000.000000,6250000.000000,DMMSY
