n,m_real,density_label,density_rel,seed,dijkstra_us,bf_us,thorup_us,dmmsy_us,dijkstra_ops,bf_ops,thorup_ops,dmmsy_ops
500,500,muy_disperso,0.00200401,42,26,448,9459,1242,348,30933,348,348
500,500,muy_disperso,0.00200401,123,24,470,8674,913,448,40077,448,448
500,500,muy_disperso,0.00200401,999,14,87,9311,922,81,1725,81,81
500,1000,disperso,0.00400802,42,142,140,8426,1149,1000,7814,1000,1000
500,1000,disperso,0.00400802,123,170,122,8347,856,1000,6814,1000,1000
500,1000,disperso,0.00400802,999,152,90,6504,873,1000,6787,1000,1000
500,2500,semi_denso,0.01002004,42,256,153,7221,1470,2500,17910,2500,2500
500,2500,semi_denso,0.01002004,123,353,275,10005,1059,2500,19241,2500,2500
500,2500,semi_denso,0.01002004,999,411,217,8140,1027,2500,15198,2500,2500
500,5000,denso,0.02004008,42,354,279,8055,994,5000,33612,5000,5000
500,5000,denso,0.02004008,123,375,195,8302,903,5000,27787,5000,5000
500,5000,denso,0.02004008,999,423,246,7115,837,5000,32654,5000,5000
500,62500,muy_denso,0.25050100,42,1109,1495,7440,1547,62500,436515,62500,62500
500,62500,muy_denso,0.25050100,123,931,1311,7917,1143,62500,437247,62500,62500
500,62500,muy_denso,0.25050100,999,1143,1347,8015,1188,62500,498979,62500,62500
1000,1000,muy_disperso,0.00100100,42,48,2117,14520,1265,848,178298,848,848
1000,1000,muy_disperso,0.00100100,123,32,878,13752,1741,439,48379,439,439
1000,1000,muy_disperso,0.00100100,999,34,1168,12864,1239,582,77843,582,582
1000,2000,disperso,0.00200200,42,264,227,8777,1059,1994,16245,1994,1994
1000,2000,disperso,0.00200200,123,216,136,6623,584,2000,18903,2000,2000
1000,2000,disperso,0.00200200,999,128,109,5337,621,2000,18003,2000,2000
1000,5000,semi_denso,0.00500501,42,275,169,6862,702,5000,45787,5000,5000
1000,5000,semi_denso,0.00500501,123,195,136,5455,584,5000,35517,5000,5000
1000,5000,semi_denso,0.00500501,999,175,136,6715,624,5000,39961,5000,5000
1000,10000,denso,0.01001001,42,308,232,5829,786,10000,106047,10000,10000
1000,10000,denso,0.01001001,123,272,206,6568,588,10000,84405,10000,10000
1000,10000,denso,0.01001001,999,352,214,5606,634,10000,75261,10000,10000
1000,250000,muy_denso,0.25025025,42,1109,1986,6311,2593,250000,1997742,250000,250000
1000,250000,muy_denso,0.25025025,123,1181,4315,7782,1302,250000,1998524,250000,250000
1000,250000,muy_denso,0.25025025,999,1371,1924,7087,1679,250000,1997781,250000,250000
2000,2000,muy_disperso,0.00050025,42,65,3374,11883,1518,1903,871702,1903,1903
2000,2000,muy_disperso,0.00050025,123,11,19,12834,2982,13,66,13,13
2000,2000,muy_disperso,0.00050025,999,91,2428,13924,1907,949,191141,949,949
2000,4000,disperso,0.00100050,42,683,356,14317,1369,4000,39946,4000,4000
2000,4000,disperso,0.00100050,123,296,299,11474,1414,4000,29305,4000,4000
2000,4000,disperso,0.00100050,999,315,279,10918,2135,4000,47302,4000,4000
2000,10000,semi_denso,0.00250125,42,534,360,10667,1302,10000,99281,10000,10000
2000,10000,semi_denso,0.00250125,123,624,341,10752,1467,10000,77996,10000,10000
2000,10000,semi_denso,0.00250125,999,605,520,11586,1395,10000,97374,10000,10000
2000,20000,denso,0.00500250,42,974,1082,11262,1296,20000,190799,20000,20000
2000,20000,denso,0.00500250,123,1189,697,10439,1367,20000,188875,20000,20000
2000,20000,denso,0.00500250,999,656,738,11316,1235,20000,186995,20000,20000
2000,1000000,muy_denso,0.25012506,42,2994,11507,12795,2597,1000000,8997976,1000000,1000000
2000,1000000,muy_denso,0.25012506,123,3093,11130,12662,2849,1000000,8994071,1000000,1000000
2000,1000000,muy_denso,0.25012506,999,2991,8672,13019,2417,1000000,7996598,1000000,1000000
5000,5000,muy_disperso,0.00020004,42,45,-1,26264,2756,1549,-1,1549,1549
5000,5000,muy_disperso,0.00020004,123,30,-1,26617,2785,76,-1,76,76
5000,5000,muy_disperso,0.00020004,999,55,-1,24878,3152,1366,-1,1366,1366
5000,10000,disperso,0.00040008,42,629,-1,26162,3997,9995,-1,9995,9995
5000,10000,disperso,0.00040008,123,694,-1,25487,2949,10000,-1,10000,10000
5000,10000,disperso,0.00040008,999,934,-1,25926,2713,9997,-1,9997,9997
5000,25000,semi_denso,0.00100020,42,1925,-1,26342,2738,25000,-1,25000,25000
5000,25000,semi_denso,0.00100020,123,1392,-1,26069,3998,25000,-1,25000,25000
5000,25000,semi_denso,0.00100020,999,1097,-1,32360,3281,25000,-1,25000,25000
5000,50000,denso,0.00200040,42,1837,-1,32418,4031,50000,-1,50000,50000
5000,50000,denso,0.00200040,123,1795,-1,32813,4524,50000,-1,50000,50000
5000,50000,denso,0.00200040,999,2316,-1,33373,3170,50000,-1,50000,50000
5000,6250000,muy_denso,0.25005001,42,12486,-1,34087,9447,6250000,-1,6250000,6250000
5000,6250000,muy_denso,0.25005001,123,12397,-1,34570,10602,6250000,-1,6250000,6250000
5000,6250000,muy_denso,0.25005001,999,11094,-1,32795,10466,6250000,-1,6250000,6250000
