experiment,n,m,density,dijkstra_us,bellmanford_us,det_mlogn_us,thorup_us,dijkstra_ops,bellmanford_ops,det_ops,thorup_ops
1,100,200,0.020202,10,11,106,960,200,1232,200,200
1,500,1000,0.004008,50,52,438,3127,1000,7814,1000,1000
1,1000,2000,0.002002,129,102,1108,5779,1994,16245,1994,1994
1,2000,4000,0.001001,244,251,1232,10877,4000,39946,4000,4000
1,5000,10000,0.000400,581,-1,3198,25742,9995,-1,9995,9995
1,10000,20000,0.000200,1380,-1,7492,52209,20000,-1,20000,20000
2,1000,1000,0.001001,53,1315,692,5334,848,178298,848,848
2,1000,5000,0.005005,301,200,740,7152,5000,45787,5000,5000
2,1000,10000,0.010010,278,223,599,5208,10000,106047,10000,10000
2,1000,50000,0.050050,631,559,658,4878,50000,346658,50000,50000
2,1000,100000,0.100100,619,857,793,5492,100000,898398,100000,100000
2,1000,200000,0.200200,838,1439,883,6245,200000,1798191,200000,200000
3,500,500,0.002004,15,366,1415,3218,348,30933,348,348
3,500,2500,0.010020,383,231,588,3367,2500,17910,2500,2500
3,500,12500,0.050100,348,157,470,2807,12500,86498,12500,12500
3,500,50000,0.200401,683,570,533,2968,50000,348833,50000,50000
