n,m,density,thorup_us,thorup_ops,componentes
100,200,0.020202,2286,200,318
500,1000,0.004008,7002,1000,709
1000,2000,0.002002,12925,1994,1002
2000,4000,0.001001,14467,4000,1416
5000,10000,0.000400,25322,9995,2238
10000,20000,0.000200,99854,20000,3164
500,500,0.002004,3568,348,709
500,2500,0.010020,3602,2500,709
500,12500,0.050100,2829,12500,709
500,50000,0.200401,3441,50000,709
1000,1000,0.001001,7544,848,1002
1000,5000,0.005005,5254,5000,1002
1000,10000,0.010010,5265,10000,1002
1000,50000,0.050050,5393,50000,1002
1000,100000,0.100100,6656,100000,1002
1000,200000,0.200200,7435,200000,1002
