experiment,n,m,density,dijkstra_us,bellmanford_us,det_mlogn_us,thorup_us,dijkstra_ops,bellmanford_ops,det_ops,thorup_ops
1,100,200,0.020202,8,11,56,519,200,1232,200,200
1,500,1000,0.004008,33,35,203,1936,1000,7814,1000,1000
1,1000,2000,0.002002,75,74,341,3766,1994,16245,1994,1994
1,2000,4000,0.001001,169,179,904,7770,4000,39946,4000,4000
1,5000,10000,0.000400,543,-1,2098,18203,9995,-1,9995,9995
1,10000,20000,0.000200,1177,-1,5048,34423,20000,-1,20000,20000
2,1000,1000,0.001001,14,487,280,3844,848,178298,848,848
2,1000,5000,0.005005,137,106,798,3873,5000,45787,5000,5000
2,1000,10000,0.010010,242,165,428,3709,10000,106047,10000,10000
2,1000,50000,0.050050,349,321,414,3765,50000,346658,50000,50000
2,1000,100000,0.100100,467,519,437,3689,100000,898398,100000,100000
2,1000,200000,0.200200,706,1170,602,4844,200000,1798191,200000,200000
3,500,500,0.002004,7,114,130,1776,348,30933,348,348
3,500,2500,0.010020,57,45,175,2015,2500,17910,2500,2500
3,500,12500,0.050100,167,90,181,1839,12500,86498,12500,12500
3,500,50000,0.200401,226,203,207,2607,50000,348833,50000,50000
